date,title,year,rating,rewatch,liked,reviewed,url,reviewUrl,slug,filmUid,lid
2025-01-27,High School,2010,4,1,0,0,https://letterboxd.com/nichtlegacy/film/high-school-2010/1/,,high-school-2010,film:34391,1rsW
2025-01-25,Sonic the Hedgehog 3,2024,4,0,0,0,https://letterboxd.com/nichtlegacy/film/sonic-the-hedgehog-3/,,sonic-the-hedgehog-3,film:844148,zq0U
2025-01-24,Sonic the Hedgehog 2,2022,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/sonic-the-hedgehog-2/,,sonic-the-hedgehog-2,film:600103,pb8O
2025-01-24,Geostorm,2017,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/geostorm/,,geostorm,film:198971,8lC6
2025-01-22,Dogma,1999,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/dogma/,,dogma,film:50767,284e
2025-01-21,Bridesmaids,2011,1.5,0,0,0,https://letterboxd.com/nichtlegacy/film/bridesmaids/,,bridesmaids,film:10442,rac
2025-01-21,Without a Paddle,2004,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/without-a-paddle/,,without-a-paddle,film:45920,1Vss
2025-01-20,Anchorman: The Legend of Ron Burgundy,2004,3,1,0,0,https://letterboxd.com/nichtlegacy/film/anchorman-the-legend-of-ron-burgundy/1/,,anchorman-the-legend-of-ron-burgundy,film:47637,1ZVo
2025-01-20,Toy Story 2,1999,3,0,0,0,https://letterboxd.com/nichtlegacy/film/toy-story-2/,,toy-story-2,film:51289,29qq
2025-01-18,Monty Python and the Holy Grail,1975,3,0,0,0,https://letterboxd.com/nichtlegacy/film/monty-python-and-the-holy-grail/,,monty-python-and-the-holy-grail,film:51390,29GI
2025-01-18,Toy Story,1995,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/toy-story/,,toy-story,film:51290,29qA
2025-01-18,Good Will Hunting,1997,4.5,0,1,0,https://letterboxd.com/nichtlegacy/film/good-will-hunting/,,good-will-hunting,film:51621,2ahY
2025-01-18,Pineapple Express,2008,4,0,1,0,https://letterboxd.com/nichtlegacy/film/pineapple-express/,,pineapple-express,film:46462,1WRS
2025-01-17,Deuce Bigalow: Male Gigolo,1999,3,0,0,0,https://letterboxd.com/nichtlegacy/film/deuce-bigalow-male-gigolo/,,deuce-bigalow-male-gigolo,film:46264,1WlW
2025-01-16,Deuce Bigalow: European Gigolo,2005,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/deuce-bigalow-european-gigolo/,,deuce-bigalow-european-gigolo,film:45289,1TOG
2025-01-16,Anchorman: The Legend of Ron Burgundy,2004,3,0,0,0,https://letterboxd.com/nichtlegacy/film/anchorman-the-legend-of-ron-burgundy/,,anchorman-the-legend-of-ron-burgundy,film:47637,1ZVo
2025-01-15,The Naked Gun: From the Files of Police Squad!,1988,3,0,0,0,https://letterboxd.com/nichtlegacy/film/the-naked-gun-from-the-files-of-police-squad/,,the-naked-gun-from-the-files-of-police-squad,film:27284,18YE
2025-01-15,Up in Smoke,1978,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/up-in-smoke-1978/,,up-in-smoke-1978,film:45287,1TOm
2025-01-14,Celebrity Sex Tape,2012,1,0,0,0,https://letterboxd.com/nichtlegacy/film/celebrity-sex-tape/,,celebrity-sex-tape,film:74110,36Ne
2025-01-14,Office Space,1999,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/office-space/,,office-space,film:50991,28Em
2025-01-13,The Wrong Trousers,1993,4,0,0,0,https://letterboxd.com/nichtlegacy/film/the-wrong-trousers/,,the-wrong-trousers,film:51586,2ack
2025-01-13,The Breakfast Club,1985,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/the-breakfast-club/,,the-breakfast-club,film:50518,27q4
2025-01-12,John Wick: Chapter 4,2023,5,0,1,0,https://letterboxd.com/nichtlegacy/film/john-wick-chapter-4/,,john-wick-chapter-4,film:530882,mh48
2025-01-12,Scary Movie 4,2006,1.5,0,0,0,https://letterboxd.com/nichtlegacy/film/scary-movie-4/,,scary-movie-4,film:49433,24B4
2025-01-12,The Dukes of Hazzard,2005,3,0,0,0,https://letterboxd.com/nichtlegacy/film/the-dukes-of-hazzard/,,the-dukes-of-hazzard,film:48274,21A8
2025-01-11,"Puff, Puff, Pass",2006,2,0,0,0,https://letterboxd.com/nichtlegacy/film/puff-puff-pass/,,puff-puff-pass,film:36578,1x9G
2025-01-11,PCU,1994,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/pcu/,,pcu,film:43102,1O7W
2025-01-10,Airplane!,1980,4,0,0,0,https://letterboxd.com/nichtlegacy/film/airplane/,,airplane,film:51339,29yu
2025-01-09,Wallace & Gromit: Vengeance Most Fowl,2024,4,0,0,0,https://letterboxd.com/nichtlegacy/film/wallace-gromit-vengeance-most-fowl/,,wallace-gromit-vengeance-most-fowl,film:834561,z14C
2025-01-09,Mallrats,1995,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/mallrats/,,mallrats,film:50356,26ZW
2025-01-08,Major Payne,1995,3,0,0,0,https://letterboxd.com/nichtlegacy/film/major-payne/,,major-payne,film:45694,1US0
2025-01-08,Bill & Ted's Bogus Journey,1991,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/bill-teds-bogus-journey/,,bill-teds-bogus-journey,film:50893,28oy
2025-01-07,Good Kids,2016,2,0,0,0,https://letterboxd.com/nichtlegacy/film/good-kids-2016/,,good-kids-2016,film:282304,bQoU
2025-01-07,The Stöned Age,1994,3,0,0,0,https://letterboxd.com/nichtlegacy/film/the-stoned-age/,,the-stoned-age,film:38752,1COk
2025-01-07,Bill & Ted's Excellent Adventure,1989,3,0,0,0,https://letterboxd.com/nichtlegacy/film/bill-teds-excellent-adventure/,,bill-teds-excellent-adventure,film:50894,28oI
2025-01-06,The Other Guys,2010,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/the-other-guys/,,the-other-guys,film:34394,1rtq
2025-01-06,Role Models,2008,3,0,0,0,https://letterboxd.com/nichtlegacy/film/role-models/,,role-models,film:42425,1MmK
2025-01-05,Half Baked,1998,3.5,1,0,0,https://letterboxd.com/nichtlegacy/film/half-baked/1/,,half-baked,film:47108,1Yy4
2025-01-05,Rush Hour,1998,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/rush-hour/,,rush-hour,film:50517,27pU
2025-01-04,Beerfest,2006,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/beerfest/,,beerfest,film:46653,1XmG
2025-01-03,The Prestige,2006,4.5,1,1,0,https://letterboxd.com/nichtlegacy/film/the-prestige/2/,,the-prestige,film:51147,293w
2025-01-03,Top Gun: Maverick,2022,5,0,1,0,https://letterboxd.com/nichtlegacy/film/top-gun-maverick/,,top-gun-maverick,film:293465,cjr4
2025-01-03,Idle Hands,1999,3,0,0,0,https://letterboxd.com/nichtlegacy/film/idle-hands/,,idle-hands,film:48259,21xI
2025-01-02,"Monsters, Inc.",2001,3.5,0,1,0,https://letterboxd.com/nichtlegacy/film/monsters-inc/,,monsters-inc,film:51535,2a46
2025-01-02,Bad Teacher,2011,1.5,0,0,0,https://letterboxd.com/nichtlegacy/film/bad-teacher/,,bad-teacher,film:13439,yXA
2024-12-31,There's Something About Mary,1998,3,0,0,0,https://letterboxd.com/nichtlegacy/film/theres-something-about-mary/,,theres-something-about-mary,film:51573,2aae
2024-12-30,Jay and Silent Bob Strike Back,2001,3,0,0,0,https://letterboxd.com/nichtlegacy/film/jay-and-silent-bob-strike-back/,,jay-and-silent-bob-strike-back,film:50355,26ZM
2024-12-29,Lethal Seduction,2015,1,0,0,0,https://letterboxd.com/nichtlegacy/film/lethal-seduction-2015/,,lethal-seduction-2015,film:278664,bGVO
2024-12-27,Smile 2,2024,3,0,0,0,https://letterboxd.com/nichtlegacy/film/smile-2-2024/,,smile-2-2024,film:992360,FDA4
2024-12-26,Smiley Face,2007,4,1,1,0,https://letterboxd.com/nichtlegacy/film/smiley-face/3/,,smiley-face,film:44082,1QG0
2024-12-26,Die Hard,1988,3.5,0,1,0,https://letterboxd.com/nichtlegacy/film/die-hard/,,die-hard,film:51556,2a7u
2024-12-24,Tenacious D in The Pick of Destiny,2006,3,0,0,0,https://letterboxd.com/nichtlegacy/film/tenacious-d-in-the-pick-of-destiny/,,tenacious-d-in-the-pick-of-destiny,film:50458,27go
2024-12-22,Super Troopers,2001,3,1,0,0,https://letterboxd.com/nichtlegacy/film/super-troopers/1/,,super-troopers,film:24933,12Rs
2024-12-22,The Nice Guys,2016,3,1,0,0,https://letterboxd.com/nichtlegacy/film/the-nice-guys/1/,,the-nice-guys,film:216301,94Hg
2024-12-21,The Big Lebowski,1998,4.5,1,1,0,https://letterboxd.com/nichtlegacy/film/the-big-lebowski/1/,,the-big-lebowski,film:51935,2b6C
2024-12-21,Horrible Bosses,2011,2,0,0,0,https://letterboxd.com/nichtlegacy/film/horrible-bosses/,,horrible-bosses,film:14285,Ba2
2024-12-20,Zoolander 2,2016,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/zoolander-2/,,zoolander-2,film:257397,aNBE
2024-12-19,National Treasure: Book of Secrets,2007,3,0,0,0,https://letterboxd.com/nichtlegacy/film/national-treasure-book-of-secrets/,,national-treasure-book-of-secrets,film:48220,21rq
2024-12-15,Harry Potter and the Goblet of Fire,2005,4,0,1,0,https://letterboxd.com/nichtlegacy/film/harry-potter-and-the-goblet-of-fire/,,harry-potter-and-the-goblet-of-fire,film:51450,29Qo
2024-12-14,Palm Springs,2020,3,0,0,0,https://letterboxd.com/nichtlegacy/film/palm-springs-2020/,,palm-springs-2020,film:515467,lCXQ
2024-12-14,Carry-On,2024,3,0,0,0,https://letterboxd.com/nichtlegacy/film/carry-on-2024/,,carry-on-2024,film:905876,C0B2
2024-12-13,Jobs,2013,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/jobs/,,jobs,film:91952,3RcY
2024-12-11,Suck Me Shakespeer,2013,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/suck-me-shakespeer/,,suck-me-shakespeer,film:163417,6R7A
2024-12-11,Youth in Revolt,2009,2,0,0,0,https://letterboxd.com/nichtlegacy/film/youth-in-revolt/,,youth-in-revolt,film:37957,1AK6
2024-12-09,Jackass Forever,2022,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/jackass-forever/,,jackass-forever,film:581946,opUg
2024-12-06,Being John Malkovich,1999,3,0,0,0,https://letterboxd.com/nichtlegacy/film/being-john-malkovich/,,being-john-malkovich,film:51618,2ahu
2024-12-05,The Girl Next Door,2004,2,0,0,0,https://letterboxd.com/nichtlegacy/film/the-girl-next-door-2004/,,the-girl-next-door-2004,film:46081,1VSq
2024-12-05,Meet the Spartans,2008,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/meet-the-spartans/,,meet-the-spartans,film:48074,213S
2024-12-04,Scary Movie 3,2003,2,0,0,0,https://letterboxd.com/nichtlegacy/film/scary-movie-3/,,scary-movie-3,film:49434,24Be
